rank,model,run_id,feature_set,n_samples,n_bootstrap,confidence_level,wrmse,wrmse_ci_lower,wrmse_ci_upper,wrmse_std,wmae,wmae_ci_lower,wmae_ci_upper,wmae_std,diracc,diracc_ci_lower,diracc_ci_upper,diracc_std
1,Ensemble-weighted_average,20260118_111753,all_models,75,1000,0.95,0.01790385536033702,0.014979284304085417,0.02091436763839204,0.0015241907129224228,0.014144652395032844,0.011646175702517525,0.017050543112853818,0.0013921700512502522,0.5466666666666666,0.4266666666666667,0.6533333333333333,0.05767265633633402
2,XGBoost,20260118_111753,xgb_selected,81,1000,0.95,0.019833595520180953,0.016018910603112273,0.023963141186405752,0.002105350537250795,0.015627202117380393,0.01281044626305568,0.01891919354721854,0.001565541759049735,0.5555555555555556,0.4444444444444444,0.654320987654321,0.05549241816967377
3,LightGBM,20260118_111753,xgb_selected,81,1000,0.95,0.019896768010191974,0.016027729674475754,0.02406252641351163,0.0021176536122158216,0.015668408784143315,0.012872062017560693,0.018961869410105015,0.0015702903424997714,0.5432098765432098,0.41975308641975306,0.6419753086419753,0.05449948087493918
4,BASELINE_ZERO,20260118_111753,baseline,81,1000,0.95,0.019983748548603998,0.016107252688106213,0.024174844412638136,0.0021303340559596226,0.015729483115704903,0.012911203969608473,0.01903329006252997,0.001577377909057974,0.012345679012345678,0.0,0.037345679012345395,0.012710888320972917
5,Hybrid-Seq,20260118_111753,neural_40,75,1000,0.95,0.02047844456969633,0.01631266091392394,0.024784647086038458,0.002176716280185571,0.016182461561939743,0.012916687846057788,0.019458905314546634,0.0016114092601472695,0.4,0.29333333333333333,0.5066666666666667,0.056639365972596986
6,GRU,20260118_111753,neural_80,75,1000,0.95,0.020533470303020555,0.016363887150487783,0.024881924562645652,0.002184212189141711,0.016228921468661117,0.012984338060800325,0.01952334755011652,0.001615485659459462,0.4,0.29333333333333333,0.5066666666666667,0.056639365972596986
7,Hybrid-Par,20260118_111753,neural_40,75,1000,0.95,0.020553151087172466,0.01636520484100164,0.024908567649668967,0.0021868385766346966,0.016245241851313007,0.013013212049871645,0.019546291485777224,0.0016169782583155602,0.4,0.29333333333333333,0.5066666666666667,0.056639365972596986
8,BASELINE_NAIVE,20260118_111753,baseline,81,1000,0.95,0.025313045177057094,0.02174533723821263,0.02897910790142635,0.0019002063201214378,0.02006843304573286,0.016762095369121287,0.023691841616667906,0.001792301295998474,0.48148148148148145,0.38240740740740764,0.5925925925925926,0.05451251868041123
9,LSTM,20260115_205014,xgb_selected,482,1000,0.95,0.03717588990713423,0.03442238145838749,0.04015187334571511,0.0014683360396739067,0.030268290776437314,0.02817404520375712,0.032678192154263166,0.0011435816381120106,0.558091286307054,0.5124481327800829,0.5995850622406639,0.021942558025182177
