rank,run_id,model,feature_set,train_period,valid_period,test_period,data_start,data_end,test_wrmse,test_wmae,test_diracc
27,20260115_213310,GRU,xgb_selected,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0206996407359838,0.0151231018826365,0.5643153526970954
28,20260115_213310,LSTM,xgb_selected,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0206996407359838,0.0151231018826365,0.5643153526970954
29,20260115_211034,GRU,xgb_selected,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0207000020891428,0.01512479968369,0.5643153526970954
30,20260115_205014,Hybrid-Par,xgb_selected,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0207005999982357,0.0151274614036083,0.5643153526970954
31,20260115_205014,Hybrid-Seq,xgb_selected,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0207005999982357,0.0151274614036083,0.5643153526970954
32,20260115_213310,Hybrid-Par,xgb_selected,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0207006018608808,0.0151274651288986,0.5643153526970954
33,20260115_213310,Hybrid-Seq,xgb_selected,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0207006018608808,0.0151274651288986,0.5643153526970954
34,20260115_211034,Hybrid-Seq,xgb_selected,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0207006614655256,0.0151277398690581,0.5643153526970954
35,20260115_211034,Hybrid-Par,xgb_selected,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0207037106156349,0.0151398302987217,0.5643153526970954
36,20260115_211034,LSTM,xgb_selected,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0207050088793039,0.0151442280039191,0.5643153526970954
37,20260115_211034,GRU,neural_40,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0212593022733926,0.0151786711066961,0.5643153526970954
38,20260115_205014,XGBoost,xgb_selected,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0213711627996615,0.0155660966321899,0.5645161290322581
39,20260115_213310,XGBoost,xgb_selected,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0213711665509139,0.0155661029913015,0.5645161290322581
40,20260115_211034,LightGBM,xgb_selected,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0215082779029332,0.0156403750612468,0.5625
41,20260115_211034,XGBoost,xgb_selected,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0215091172254124,0.015644274753245,0.5625
42,20260115_205014,BASELINE_ZERO,baseline,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0215472617265705,0.0157475697507431,0.0040322580645161
43,20260115_211034,BASELINE_ZERO,baseline,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0215472620771513,0.0157475638533485,0.0040322580645161
44,20260115_213310,BASELINE_ZERO,baseline,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0215472656372954,0.0157475753881372,0.0040322580645161
45,20260115_211034,Hybrid-Seq,neural_40,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.021587535738945,0.0163028370589017,0.4273858921161825
46,20260115_205014,Hybrid-Seq,neural_40,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0216552074998617,0.016447015106678,0.4398340248962655
47,20260115_213310,Hybrid-Seq,neural_40,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0216552130877971,0.0164470244199037,0.4398340248962655
48,20260115_222938,GRU,neural_80,2005-12-31 - 2020-12-31,2021-01-01 - 2023-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.022018102928996,0.0161455608904361,0.5566166439290586
49,20260115_213310,LightGBM,xgb_selected,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0220777782521828,0.0158279097235662,0.4979838709677419
50,20260115_205014,LightGBM,xgb_selected,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0220999850209005,0.015870848326149,0.4274193548387097
51,20260115_222938,GRU,xgb_selected,2005-12-31 - 2020-12-31,2021-01-01 - 2023-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0221065916121006,0.0162418559193611,0.5607094133697135
52,20260115_222938,LSTM,xgb_selected,2005-12-31 - 2020-12-31,2021-01-01 - 2023-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0221065916121006,0.0162418559193611,0.5607094133697135
53,20260115_222938,Hybrid-Par,xgb_selected,2005-12-31 - 2020-12-31,2021-01-01 - 2023-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0221090335398912,0.0162465460598468,0.5607094133697135
54,20260115_222938,Hybrid-Seq,xgb_selected,2005-12-31 - 2020-12-31,2021-01-01 - 2023-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0221090335398912,0.0162465460598468,0.5607094133697135
